Do you consider it practical to include energy efficiency attributes in research artifact metadata? 1 (Strongly impractical) – 5 (Highly practical),Do you have experience collecting data or preparing datasets for research purposes?,Do you have experience developing software or using programming languages for research?,How familiar are you with green software practices in general? 1 (Not familiar) – 5 (Very familiar),"How familiar are you with the FAIR principles (Findable, Accessible, Interoperable, Reusable, see the introductory paper)? 1 (Not familiar) – 5 (Very familiar)","How familiar are you with the sustainability concept (e.g., Sustainable Development Goals) in general? 1 (Not familiar) – 5 (Very familiar)",How feasible is it to report hardware/software/network context or specifications when publishing research? 1 (Not feasible) – 5 (Very feasible),How important is it to follow FAIR principles? 1 (Not important) – 5 (Extremely important),How important is transparency in sustainability reporting for research artifacts? 1 (Not important) – 5 (Extremely important),How likely would you be to adopt sustainability benchmarks if clear community standards existed? 1 (Not likely) – 5 (Very likely),How many years of experience do you have in research or development?,"How often do you participate in editorial boards, research or conference committees, or grant review activities that assess paper submissions or funding applications?",How valuable would standardize sustainability certifications (similar to FAIR badges) be for software and datasets? 1 (Not valuable) – 5 (Extremely valuable),Selected_expert,To what extent do you agree that validated sustainability benchmarks/tools are necessary? 1 (Strongly disagree) – 5 (Strongly agree),To what extent do you apply the FAIR principles in your research or software development work? 1 (Never apply) – 5 (Always apply),What is your level of education or expertise?,What is your primary field of research or development? [Computer Science related],What is your primary field of research or development? [Engineering related],What is your primary field of research or development? [Life Sciences related],What is your primary field of research or development? [Other],What is your primary field of research or development? [Social Sciences related],Which FAIR+S principles (S1–S5) do you find most critical for adoption? 1 (Not important) – 5 (Very important) [S1 Energy efficiency attributes],Which FAIR+S principles (S1–S5) do you find most critical for adoption? 1 (Not important) – 5 (Very important) [S2 Sustainability benchmarks],Which FAIR+S principles (S1–S5) do you find most critical for adoption? 1 (Not important) – 5 (Very important) [S3 Alignment with sustainability frameworks],Which FAIR+S principles (S1–S5) do you find most critical for adoption? 1 (Not important) – 5 (Very important) [S4 Carbon transparency and accountability],Which FAIR+S principles (S1–S5) do you find most critical for adoption? 1 (Not important) – 5 (Very important) [S5 Life cycle sustainability],Which hardware/software details do you usually report in any of your research (if any)? [CPU / GPU type],Which hardware/software details do you usually report in any of your research (if any)? [Cloud provider / Region],Which hardware/software details do you usually report in any of your research (if any)? [Memory],Which hardware/software details do you usually report in any of your research (if any)? [None of them],Which hardware/software details do you usually report in any of your research (if any)? [Operating System / Environment],Which hardware/software details do you usually report in any of your research (if any)? [Other],Which hardware/software details do you usually report in any of your research (if any)? [Software framework],Which hardware/software details do you usually report in any of your research (if any)? [System logs / Energy logs],Would lifecycle sustainability statements improve your trust in published datasets/software? [No],Would lifecycle sustainability statements improve your trust in published datasets/software? [Unsure],Would lifecycle sustainability statements improve your trust in published datasets/software? [Yes],Would you support mandatory disclosure of methods/tools used for energy measurement? [No],Would you support mandatory disclosure of methods/tools used for energy measurement? [Unsure],Would you support mandatory disclosure of methods/tools used for energy measurement? [Yes]
5.0,Moderate experience (did it more than once),Extensive experience,1.0,5.0,2.0,5.0,5.0,5.0,5.0,More than 15,Once a year,3.0,1,4.0,5.0,PhD,No,No,No,,Yes,5.0,4.0,3.0,4.0,2.0,Yes,No,No,No,Yes,,Yes,No,Yes,No,No,No,No,Yes
5.0,Extensive experience,Moderate experience,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5–10,Once a year,5.0,1,5.0,4.0,PhD,Yes,Yes,No,,No,5.0,4.0,5.0,5.0,4.0,Yes,No,Yes,No,Yes,,Yes,No,No,No,Yes,No,No,Yes
5.0,Moderate experience (did it more than once),Extensive experience,3.0,4.0,4.0,5.0,4.0,5.0,5.0,11–15,Once a year,5.0,1,5.0,4.0,Master's,No,Yes,No,,No,5.0,4.0,4.0,5.0,4.0,Yes,No,No,No,Yes,,Yes,No,No,No,Yes,No,No,Yes
5.0,Extensive experience,Extensive experience,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5–10,2–3 times a year,5.0,1,5.0,5.0,"PhD+ (Prof., Group Lead etc.)",Yes,No,No,,Yes,5.0,5.0,5.0,5.0,5.0,Yes,No,No,No,Yes,,Yes,No,No,No,Yes,No,No,Yes
,Extensive experience,No experience,2.0,4.0,3.0,,5.0,,,5–10,Never,,1,,3.0,PhD,No,No,Yes,,No,,,,,,,,,,,,,,,,,,,
4.0,Extensive experience,Extensive experience,3.0,3.0,2.0,3.0,4.0,4.0,5.0,More than 15,Once every few years,3.0,1,4.0,3.0,Master's,Yes,No,No,,No,1.0,3.0,1.0,3.0,1.0,Yes,No,Yes,No,No,,Yes,No,No,No,Yes,No,No,Yes
2.0,Extensive experience,Extensive experience,2.0,5.0,5.0,5.0,4.0,5.0,,Less than 5,Once every few years,4.0,1,,4.0,Master's,Yes,Yes,No,,No,4.0,,3.0,5.0,2.0,No,No,No,No,No,,Yes,No,No,No,Yes,No,No,No
1.0,Extensive experience,No experience,2.0,5.0,3.0,2.0,5.0,2.0,1.0,5–10,Once a year,2.0,1,1.0,4.0,PhD,No,No,No,,Yes,1.0,1.0,1.0,1.0,2.0,No,No,No,Yes,No,,No,No,No,No,Yes,Yes,No,No
4.0,Extensive experience,Limited experience (did it once),3.0,5.0,3.0,4.0,5.0,4.0,3.0,11–15,Once a year,3.0,1,5.0,5.0,"PhD+ (Prof., Group Lead etc.)",No,Yes,No,,No,5.0,4.0,5.0,3.0,4.0,No,No,No,Yes,No,,No,No,No,No,Yes,No,No,Yes
1.0,Moderate experience (did it more than once),Extensive experience,2.0,3.0,2.0,4.0,5.0,4.0,3.0,5–10,2–3 times a year,4.0,1,3.0,3.0,PhD,Yes,No,No,,No,3.0,3.0,4.0,4.0,2.0,Yes,No,Yes,No,Yes,,Yes,No,Yes,No,No,No,No,Yes
